energyfamiliarity,currenthydrogen,currentgeothermal,currentsolar,currentcoal,currentnuclear,currenthydroelectric,currentoil,currentnaturalgas,stdevhydrogen,stdevgeothermal,stdevsolar,stdevcoal,stdevnuclear,stdevhydroelectric,stdevoil,stdevnaturalgas,avgstdevoff,avgoff,hydrogenoff,geothermaloff,solaroff,coaloff,nuclearoff,hydroelectricoff,oiloff,naturalgasoff,wanthydrogen,wantgeothermal,wantsolar,wantcoal,wantnuclear,wanthydroelectric,wantoil,wantnaturalgas,important,worry,personalimpact,futureimpact,age,race,gender,education,householdincome,state,zipcode,ideology,ideologystrength,party,sassy,difwanthydrogen,difwantgeothermal,difwantsolar,difwantcoal,difwantnuclear,difwanthydroelectric,difwantoil,difwantnaturalgas
About the Same,2,5,10,8,10,5,30,30,-0.395383018,0.140512636,0.112955193,-0.858920407,-0.153443962,-0.515220301,0.370443989,0.728753432,0.409454117,9.55,2,4.6,7.3,-17.9,-12.2,-1.2,29.5,-1.7,0,0,100,0,0,0,0,,Somewhat important,Not Very Worried,A Moderate Amount,A Great Deal,29,White,Man,Bachelor degree,"$50,000-$74,999",Texas,77079,Conservative,Weakly,Libertarian,Concerned,-2,-5,90,-8,-10,-5,-30,-30
Less Than,0,5,10,30,20,15,10,10,-0.731140572,0.140512636,0.112955193,0.556946308,0.831271934,0.610298881,-0.864131157,-0.729180913,0.572054699,7.275,0,4.6,7.3,4.1,-2.2,8.8,9.5,-21.7,20,20,20,0,40,0,0,0,Extremely Important,Very Worried,A Great Deal,A Great Deal,38,White,Woman,"Some college, but no degree","Less than $25,000",New Hampshire,3833,Liberal,Weakly,Democrat,Alarmed,20,15,10,-30,20,-15,-10,-10
Much Less Than,10,10,10,10,10,10,10,30,0.947647198,1.047226318,0.112955193,-0.730205251,-0.153443962,0.04753929,-0.864131157,0.728753432,0.578987725,8.75,10,9.6,7.3,-15.9,-12.2,3.8,9.5,-1.7,25,25,25,25,10,10,30,50,Somewhat important,Not Very Worried,Not at All,Only a Little,59,White,Man,Associates or technical degree,"$100,000-$149,999",Illinois,60459,Moderate,Moderately,Republican,Doubtful,15,15,15,15,0,0,20,20
About the Same,2,1,10,10,2,5,60,10,-0.395383018,-0.58485831,0.112955193,-0.730205251,-0.94121668,-0.515220301,2.222306708,-0.729180913,0.778915797,16.05,2,0.6,7.3,-15.9,-20.2,-1.2,59.5,-21.7,20,10,25,5,10,10,10,10,Very Important,Very Worried,A Moderate Amount,A Great Deal,33,Asian or Asian American,Woman,Bachelor degree,"$75,000-$99,999",California,95814,Liberal,Moderately,Democrat,Alarmed,18,9,15,-5,8,5,-50,0
About the Same,0,2,6,30,2,20,5,35,-0.731140572,-0.403515574,-0.427977576,0.556946308,-0.94121668,1.173058473,-1.172774943,1.093237018,0.812483393,6.35,0,1.6,3.3,4.1,-20.2,13.8,4.5,3.3,0,0,70,0,0,30,0,0,Extremely Important,Very Worried,A Moderate Amount,A Great Deal,38,White,Woman,"Some college, but no degree","$25,000-$49,999",Maine,4062,Liberal,Strongly,Other,Alarmed,0,-2,64,-30,-2,10,-5,-35
More Than,1,2,3,15,5,14,20,40,-0.563261795,-0.403515574,-0.833677153,-0.408417361,-0.645801911,0.497746963,-0.246843584,1.457720605,0.632123118,8.325,1,1.6,0.3,-10.9,-17.2,7.8,19.5,8.3,5,30,30,0,5,30,0,0,Extremely Important,Very Worried,Only a Little,A Great Deal,54,"White,Native American or Alaska Native",Man,Graduate or professional degree ,"$150,000 or more",Delaware,19973,Liberal,Strongly,Other,Alarmed,4,28,27,-15,0,16,-20,-40
About the Same,10,5,10,45,10,10,5,5,0.947647198,0.140512636,0.112955193,1.522309978,-0.153443962,0.04753929,-1.172774943,-1.093664499,0.648855963,11.025,10,4.6,7.3,19.1,-12.2,3.8,4.5,-26.7,0,0,100,0,0,0,0,0,Not too important,Somewhat Worried,Not at All,A Moderate Amount,41,White,Man,Bachelor degree,"$100,000-$149,999",South Carolina,29615,Liberal,Strongly,Democrat,Cautious,-10,-5,90,-45,-10,-10,-5,-5
About the Same,5,5,5,25,15,5,20,20,0.108253313,0.140512636,-0.563210768,0.235158419,0.338913986,-0.515220301,-0.246843584,-0.00021374,0.268540843,6.55,5,4.6,2.3,-0.9,-7.2,-1.2,19.5,-11.7,10,10,20,5,15,10,10,20,Extremely Important,Very Worried,A Great Deal,,51,White,Woman,Bachelor degree,"$25,000-$49,999",Oklahoma,73128,Liberal,Strongly,Democrat,,5,5,15,-20,0,5,-10,0
More Than,2,3,2,28,30,25,5,5,-0.395383018,-0.222172837,-0.968910345,0.428231152,1.815987831,1.735818064,-1.172774943,-1.093664499,0.979117836,8.15,2,2.6,-0.7,2.1,7.8,18.8,4.5,-26.7,0,0,30,0,70,0,0,0,Not too important,Not At All Worried,Not at All,A Moderate Amount,44,White,Woman,Associates or technical degree,"$25,000-$49,999",Washington,99201,Conservative,Moderately,Republican,Doubtful,-2,-3,28,-28,40,-25,-5,-5
More Than,1,2,8,44,1,3,11,30,-0.563261795,-0.403515574,-0.157511191,1.4579524,-1.03968827,-0.740324138,-0.802402399,0.728753432,0.73667615,7.825,1,1.6,5.3,18.1,-21.2,-3.2,10.5,-1.7,20,10,33,0,10,10,0,17,Extremely Important,Very Worried,A Great Deal,A Great Deal,85,White,Man,Graduate or professional degree ,"$50,000-$74,999",California,92081,Moderate,Strongly,Independent,Alarmed,19,8,25,-44,9,7,-11,-13
Much More Than,5,5,5,30,5,10,30,10,0.108253313,0.140512636,-0.563210768,0.556946308,-0.645801911,0.04753929,0.370443989,-0.729180913,0.395236141,11.025,5,4.6,2.3,4.1,-17.2,3.8,29.5,-21.7,0,100,0,0,0,0,0,0,Very Important,Somewhat Worried,Only a Little,A Great Deal,33,White,Man,High school diploma or GED,"$25,000-$49,999",Arkansas,72114,Liberal,Strongly,Democrat,Concerned,-5,95,-5,-30,-5,-10,-30,-10
About the Same,10,5,20,25,20,5,30,30,0.947647198,0.140512636,1.465287117,0.235158419,0.831271934,-0.515220301,0.370443989,0.728753432,0.654286878,8.425,10,4.6,17.3,-0.9,-2.2,-1.2,29.5,-1.7,0,0,20,15,25,,40,40,Very Important,Somewhat Worried,A Moderate Amount,A Great Deal,46,White,Man,Bachelor degree,"$150,000 or more",Texas,78212,Liberal,Moderately,Democrat,Concerned,-10,-5,0,-10,5,-5,10,10
More Than,10,5,5,20,10,15,20,15,0.947647198,0.140512636,-0.563210768,-0.086629471,-0.153443962,0.610298881,-0.246843584,-0.364697327,0.389160478,10,10,4.6,2.3,-5.9,-12.2,8.8,19.5,-16.7,5,15,20,5,20,20,5,10,Extremely Important,Very Worried,A Moderate Amount,A Great Deal,74,White,Woman,Associates or technical degree,"$150,000 or more",Iowa,50401,Liberal,Strongly,Democrat,Alarmed,-5,10,15,-15,10,5,-15,-5
About the Same,1,2,6,22,16,5,43,5,-0.563261795,-0.403515574,-0.427977576,0.042085685,0.437385576,-0.515220301,1.172917834,-1.093664499,0.582003605,10.8,1,1.6,3.3,-3.9,-6.2,-1.2,42.5,-26.7,0,10,85,0,0,5,0,0,Extremely Important,Very Worried,A Moderate Amount,A Great Deal,54,White,Man,Bachelor degree,"$150,000 or more",Arizona,85028,Liberal,Strongly,Democrat,Alarmed,-1,8,79,-22,-16,0,-43,-5
More Than,2,4,12,25,18,10,17,12,-0.395383018,-0.040830101,0.383421578,0.235158419,0.634328755,0.04753929,-0.432029856,-0.583387478,0.344009812,7.5,2,3.6,9.3,-0.9,-4.2,3.8,16.5,-19.7,20,10,20,0,30,20,0,0,Extremely Important,Very Worried,A Moderate Amount,A Great Deal,70,White,Man,Graduate or professional degree ,"$50,000-$74,999",Arizona,85713,Liberal,Strongly,Democrat,Alarmed,18,6,8,-25,12,10,-17,-12
More Than,0,2,8,16,30,4,20,20,-0.731140572,-0.403515574,-0.157511191,-0.344059783,1.815987831,-0.627772219,-0.246843584,-0.00021374,0.540880562,7.25,0,1.6,5.3,-9.9,7.8,-2.2,19.5,-11.7,0,20,50,0,26,4,0,0,Extremely Important,Very Worried,A Moderate Amount,A Great Deal,37,White,Man,Graduate or professional degree ,"$100,000-$149,999",Florida,32212,Moderate,Moderately,Independent,Alarmed,0,18,42,-16,-4,0,-20,-20
About the Same,0.5,0.5,2,15,2,18,35,27,-0.647201183,-0.675529679,-0.968910345,-0.408417361,-0.94121668,0.947954636,0.679087776,0.51006328,0.722297618,10.425,0.5,0.1,-0.7,-10.9,-20.2,11.8,34.5,-4.7,20,40,40,0,0,0,0,0,Extremely Important,Very Worried,A Moderate Amount,A Great Deal,83,White,Woman,Graduate or professional degree ,"$25,000-$49,999",Connecticut,6604,Liberal,Strongly,Democrat,Alarmed,19.5,39.5,38,-15,-2,-18,-35,-27
About the Same,1,2,5,15,2,5,55,15,-0.563261795,-0.403515574,-0.563210768,-0.408417361,-0.94121668,-0.515220301,1.913662921,-0.364697327,0.709150341,13.55,1,1.6,2.3,-10.9,-20.2,-1.2,54.5,-16.7,30,10,30,0,2,20,3,5,Extremely Important,Very Worried,A Great Deal,A Great Deal,50,Black or African American,Man,Bachelor degree,"Less than $25,000",Missouri,64110,Liberal,Strongly,Democrat,Alarmed,29,8,25,-15,0,15,-52,-10
Less Than,20,5,5,15,5,10,30,10,2.626434968,0.140512636,-0.563210768,-0.408417361,-0.645801911,0.04753929,0.370443989,-0.729180913,0.69144273,13.75,20,4.6,2.3,-10.9,-17.2,3.8,29.5,-21.7,15,0,15,0,40,25,5,0,Very Important,Very Worried,Only a Little,A Moderate Amount,22,White,Man,Bachelor degree,"$75,000-$99,999",Wisconsin,54482,Conservative,Weakly,Independent,Concerned,-5,-5,10,-15,35,15,-25,-10
More Than,1,1,10,5,13,0,40,30,-0.563261795,-0.58485831,0.112955193,-1.051993141,0.141970807,-1.077979892,0.987731562,0.728753432,0.656188017,10.8,1,0.6,7.3,-20.9,-9.2,-6.2,39.5,-1.7,5,5,50,1,10,20,1,8,Somewhat important,Not Very Worried,Only a Little,A Moderate Amount,24,Black or African American,Woman,Bachelor degree,"$25,000-$49,999",Alabama,35976,Moderate,Moderately,Republican,Cautious,4,4,40,-4,-3,20,-39,-22
About the Same,15,0,10,10,10,0,30,25,1.787041083,-0.766201047,0.112955193,-0.730205251,-0.153443962,-1.077979892,0.370443989,0.364269846,0.670317533,11.65,15,-0.4,7.3,-15.9,-12.2,-6.2,29.5,-6.7,20,30,10,10,10,10,10,0,Extremely Important,Very Worried,A Moderate Amount,A Great Deal,22,"White,Hispanic, Latino, or Spanish origin",Non-binary / Gender Non-conforming,"Some college, but no degree","$50,000-$74,999",Wisconsin,53154,Liberal,Moderately,Democrat,Alarmed,5,30,0,0,0,10,-20,-25
About the Same,2,2,11,15,50,10,5,5,-0.395383018,-0.403515574,0.248188386,-0.408417361,3.785419624,0.04753929,-1.172774943,-1.093664499,0.944362837,10.7,2,1.6,8.3,-10.9,27.8,3.8,4.5,-26.7,0,0,5,0,90,5,0,0,Somewhat important,Somewhat Worried,Only a Little,A Moderate Amount,52,White,Man,Associates or technical degree,"$75,000-$99,999",Pennsylvania,17044,Moderate,Moderately,Independent,Cautious,-2,-2,-6,-15,40,-5,-5,-5
About the Same,1,7,0,25,10,7,35,15,-0.563261795,0.503198109,-1.23937673,0.235158419,-0.153443962,-0.290116465,0.679087776,-0.364697327,0.503542573,9.425,1,6.6,-2.7,-0.9,-12.2,0.8,34.5,-16.7,0,10,30,0,30,20,0,10,Somewhat important,Very Worried,A Moderate Amount,A Great Deal,30,White,Man,"Some college, but no degree","$75,000-$99,999",Washington,98052,Liberal,Moderately,Democrat,Concerned,-1,3,30,-25,20,13,-35,-5
About the Same,2,3,10,20,10,5,40,10,-0.395383018,-0.222172837,0.112955193,-0.086629471,-0.153443962,-0.515220301,0.987731562,-0.729180913,0.400339657,11.55,2,2.6,7.3,-5.9,-12.2,-1.2,39.5,-21.7,15,3,45,12,5,10,5,5,Somewhat important,Not Very Worried,Only a Little,A Moderate Amount,40,Black or African American,Man,High school diploma or GED,"$25,000-$49,999",Texas,75154,Moderate,Moderately,Independent,Cautious,13,0,35,-8,-5,5,-35,-5
Less Than,5,5,20,20,5,5,20,20,0.108253313,0.140512636,1.465287117,-0.086629471,-0.645801911,-0.515220301,-0.246843584,-0.00021374,0.401095259,10.3,5,4.6,17.3,-5.9,-17.2,-1.2,19.5,-11.7,5,5,30,10,15,5,10,20,Not too important,Not Very Worried,Not at All,A Moderate Amount,93,White,Woman,Bachelor degree,"$25,000-$49,999",Florida,34222,Conservative,Strongly,Republican,Cautious,0,0,10,-10,10,0,-10,0
About the Same,10,10,10,10,10,10,20,20,0.947647198,1.047226318,0.112955193,-0.730205251,-0.153443962,0.04753929,-0.246843584,-0.00021374,0.410759317,11.25,10,9.6,7.3,-15.9,-12.2,3.8,19.5,-11.7,30,30,30,0,0,10,0,0,Extremely Important,Very Worried,A Moderate Amount,A Great Deal,36,White,Woman,Associates or technical degree,"$50,000-$74,999",North Carolina,28803,Liberal,Strongly,Democrat,Alarmed,20,20,20,-10,-10,0,-20,-20
About the Same,2,3,5,5,5,5,25,50,-0.395383018,-0.222172837,-0.563210768,-1.051993141,-0.645801911,-0.515220301,0.061800203,2.186687777,0.705283744,11.125,2,2.6,2.3,-20.9,-17.2,-1.2,24.5,18.3,10,15,75,0,0,0,0,0,Very Important,Somewhat Worried,A Moderate Amount,A Great Deal,49,White,Woman,Graduate or professional degree ,"$150,000 or more",North Carolina,28513,Liberal,Moderately,Democrat,Concerned,8,12,70,-5,-5,-5,-25,-50
About the Same,0,0,1,20,5,5,39,30,-0.731140572,-0.766201047,-1.104143538,-0.086629471,-0.645801911,-0.515220301,0.926002805,0.728753432,0.687986635,8.325,0,-0.4,-1.7,-5.9,-17.2,-1.2,38.5,-1.7,10,10,35,0,0,45,0,0,Somewhat important,Somewhat Worried,Only a Little,A Moderate Amount,69,White,Woman,High school diploma or GED,"$25,000-$49,999",Pennsylvania,15613,Moderate,Moderately,Democrat,Cautious,10,10,34,-20,-5,40,-39,-30
More Than,3,3,10,16,12,14,28,14,-0.227504241,-0.222172837,0.112955193,-0.344059783,0.043499217,0.497746963,0.246986474,-0.437594044,0.266564844,10.75,3,2.6,7.3,-9.9,-10.2,7.8,27.5,-17.7,5,10,30,5,15,30,3,2,Extremely Important,Very Worried,A Great Deal,A Great Deal,54,White,Man,Bachelor degree,"$25,000-$49,999",Washington,98569,Liberal,Strongly,Democrat,Alarmed,2,7,20,-11,3,16,-25,-12
About the Same,10,10,10,20,10,10,15,15,0.947647198,1.047226318,0.112955193,-0.086629471,-0.153443962,0.04753929,-0.55548737,-0.364697327,0.414453266,10,10,9.6,7.3,-5.9,-12.2,3.8,14.5,-16.7,25,25,25,0,0,25,0,0,Extremely Important,Very Worried,Only a Little,A Great Deal,23,White,Woman,Bachelor degree,"$50,000-$74,999",Illinois,60601,Liberal,Strongly,Democrat,Alarmed,15,15,15,-20,-10,15,-15,-15
More Than,0,1,10,40,20,10,14,5,-0.731140572,-0.58485831,0.112955193,1.200522088,0.831271934,0.04753929,-0.617216128,-1.093664499,0.652396002,8.525,0,0.6,7.3,14.1,-2.2,3.8,13.5,-26.7,5,0,20,0,60,10,0,5,Not at all important,Not At All Worried,Not at All,A Moderate Amount,51,White,Man,Bachelor degree,"Less than $25,000",Florida,32233,Moderate,Weakly,Republican,Doubtful,5,-1,10,-40,40,0,-14,0
About the Same,10,10,5,20,10,5,20,20,0.947647198,1.047226318,-0.563210768,-0.086629471,-0.153443962,-0.515220301,-0.246843584,-0.00021374,0.445054418,9.05,10,9.6,2.3,-5.9,-12.2,-1.2,19.5,-11.7,20,5,40,5,5,10,10,10,Somewhat important,Somewhat Worried,A Moderate Amount,A Great Deal,60,White,Woman,Bachelor degree,"$50,000-$74,999",Florida,34608,Liberal,Strongly,Democrat,Concerned,10,-5,35,-15,-5,5,-10,-10
More Than,5,3,2,5,10,5,60,10,0.108253313,-0.222172837,-0.968910345,-1.051993141,-0.153443962,-0.515220301,2.222306708,-0.729180913,0.74643519,15.475,5,2.6,-0.7,-20.9,-12.2,-1.2,59.5,-21.7,33,34,33,0,0,0,0,0,Very Important,Very Worried,A Moderate Amount,A Great Deal,22,White,Man,Bachelor degree,"$150,000 or more",New York,12540,Moderate,Moderately,Independent,Alarmed,28,31,31,-5,-10,-5,-60,-10
More Than,5,3,12,20,5,5,30,20,0.108253313,-0.222172837,0.383421578,-0.086629471,-0.645801911,-0.515220301,0.370443989,-0.00021374,0.291519643,10.3,5,2.6,9.3,-5.9,-17.2,-1.2,29.5,-11.7,15,10,30,5,10,10,10,10,Extremely Important,Very Worried,A Great Deal,A Great Deal,69,White,Man,"Some college, but no degree","$50,000-$74,999",New York,10308,Liberal,Strongly,Democrat,Alarmed,10,7,18,-15,5,5,-20,-10
About the Same,0,0,15,50,5,10,10,10,-0.731140572,-0.766201047,0.789121155,1.844097868,-0.645801911,0.04753929,-0.864131157,-0.729180913,0.802151739,11.125,0,-0.4,12.3,24.1,-17.2,3.8,9.5,-21.7,0,10,50,10,0,30,0,0,Very Important,Somewhat Worried,Only a Little,A Great Deal,48,White,Man,Bachelor degree,"$75,000-$99,999",California,93703,Liberal,Strongly,Democrat,Concerned,0,10,35,-40,-5,20,-10,-10
About the Same,1,1,8,35,18,2,20,15,-0.563261795,-0.58485831,-0.157511191,0.878734198,0.634328755,-0.852876056,-0.246843584,-0.364697327,0.535388902,7.575,1,0.6,5.3,9.1,-4.2,-4.2,19.5,-16.7,5,5,10,0,40,20,10,10,Somewhat important,Somewhat Worried,Only a Little,A Great Deal,62,"White,Native American or Alaska Native",Man,Graduate or professional degree ,"$75,000-$99,999",Illinois,60008,Liberal,Moderately,Independent,Concerned,4,4,2,-35,22,18,-10,-5
About the Same,2,5,15,15,25,10,15,13,-0.395383018,0.140512636,0.789121155,-0.408417361,1.323629883,0.04753929,-0.55548737,-0.510490761,0.521322684,8.7,2,4.6,12.3,-10.9,2.8,3.8,14.5,-18.7,15,0,75,0,0,10,0,0,Very Important,Somewhat Worried,Only a Little,A Great Deal,39,White,Man,Bachelor degree,"$150,000 or more",Puerto Rico,0,Liberal,Moderately,Democrat,Concerned,13,-5,60,-15,-25,0,-15,-13
More Than,3,7,7,20,4,10,37,12,-0.227504241,0.503198109,-0.292744384,-0.086629471,-0.7442735,0.04753929,0.80254529,-0.583387478,0.41097772,12.25,3,6.6,4.3,-5.9,-18.2,3.8,36.5,-19.7,10,15,30,0,20,15,5,5,Extremely Important,Very Worried,A Great Deal,A Great Deal,29,Black or African American,Woman,"Some college, but no degree","$25,000-$49,999",Florida,33579,Liberal,Strongly,Independent,Alarmed,7,8,23,-20,16,5,-32,-7
More Than,0.5,0.5,5,20,20,6,1,40,-0.647201183,-0.675529679,-0.563210768,-0.086629471,0.831271934,-0.402668383,-1.419689972,1.457720605,0.760490249,2.5,0.5,0.1,2.3,-5.9,-2.2,-0.2,0.5,8.3,5,5,30,1,30,5,0,20,Extremely Important,Very Worried,A Great Deal,A Great Deal,41,White,Man,Bachelor degree,"$75,000-$99,999",California,95046,Liberal,Strongly,Democrat,Alarmed,4.5,4.5,25,-19,10,-1,-1,-20
Much More Than,0,1,2,20,15,30,5,27,-0.731140572,-0.58485831,-0.968910345,-0.086629471,0.338913986,2.298577655,-1.172774943,0.51006328,0.83648357,5.925,0,0.6,-0.7,-5.9,-7.2,23.8,4.5,-4.7,0,1,40,0,29,30,0,0,Very Important,Very Worried,A Great Deal,A Great Deal,49,White,Man,Bachelor degree,"$50,000-$74,999",Indiana,47106,Liberal,Strongly,Democrat,Alarmed,0,0,38,-20,14,0,-5,-27
About the Same,0,1,3,35,0,18,20,23,-0.731140572,-0.58485831,-0.833677153,0.878734198,-1.138159859,0.947954636,-0.246843584,0.218476411,0.69748059,9.025,0,0.6,0.3,9.1,-22.2,11.8,19.5,-8.7,0,0,30,5,30,35,0,0,Very Important,Not Very Worried,Only a Little,A Great Deal,72,White,Man,"Some college, but no degree","$25,000-$49,999",Washington,99204,Liberal,Strongly,Independent,Concerned,0,-1,27,-30,30,17,-20,-23
About the Same,10,10,10,10,10,10,20,20,0.947647198,1.047226318,0.112955193,-0.730205251,-0.153443962,0.04753929,-0.246843584,-0.00021374,0.410759317,11.25,10,9.6,7.3,-15.9,-12.2,3.8,19.5,-11.7,10,10,10,10,10,10,20,20,Somewhat important,Somewhat Worried,A Moderate Amount,,57,White,Man,High school diploma or GED,"Less than $25,000",New Jersey,8873,Conservative,Moderately,Republican,,0,0,0,0,0,0,0,0
About the Same,5,5,5,40,20,5,10,10,0.108253313,0.140512636,-0.563210768,1.200522088,0.831271934,-0.515220301,-0.864131157,-0.729180913,0.619037889,7.575,5,4.6,2.3,14.1,-2.2,-1.2,9.5,-21.7,20,20,20,3,5,20,2,10,Very Important,Somewhat Worried,Only a Little,A Great Deal,49,"Hispanic, Latino, or Spanish origin",Man,Bachelor degree,"$100,000-$149,999",Michigan,48085,Conservative,Moderately,Democrat,Concerned,15,15,15,-37,-15,15,-8,0
More Than,3,2,10,15,5,5,40,20,-0.227504241,-0.403515574,0.112955193,-0.408417361,-0.645801911,-0.515220301,0.987731562,-0.00021374,0.412669985,11.55,3,1.6,7.3,-10.9,-17.2,-1.2,39.5,-11.7,8,6,35,0,15,16,5,15,Extremely Important,Very Worried,A Great Deal,A Great Deal,32,White,Man,Bachelor degree,"$50,000-$74,999",New Jersey,8873,Liberal,Strongly,Democrat,Alarmed,5,4,25,-15,10,11,-35,-5
Less Than,7,3,4,12,58,2,7,7,0.444010867,-0.222172837,-0.698443961,-0.601490095,4.573192342,-0.852876056,-1.049317429,-0.947871065,1.173671831,12,7,2.6,1.3,-13.9,35.8,-4.2,6.5,-24.7,15,5,40,0,0,40,0,0,Very Important,Very Worried,A Great Deal,A Great Deal,40,Asian or Asian American,Prefer not to say,Prefer not to say,"Less than $25,000",California,90046,Liberal,Moderately,Democrat,Alarmed,8,2,36,-12,-58,38,-7,-7
About the Same,0,0,0,70,0,30,0,0,-0.731140572,-0.766201047,-1.23937673,3.131249427,-1.138159859,2.298577655,-1.48141873,-1.458148085,1.530534013,15.675,0,-0.4,-2.7,44.1,-22.2,23.8,-0.5,-31.7,0,0,0,70,30,0,0,0,Very Important,Very Worried,A Great Deal,A Moderate Amount,38,White,Man,Bachelor degree,"Less than $25,000",North Carolina,27262,Moderate,Strongly,Independent,Alarmed,0,0,0,0,30,-30,0,0
About the Same,5,0,1,4,5,5,2,55,0.108253313,-0.766201047,-1.104143538,-1.116350719,-0.645801911,-0.515220301,-1.357961215,2.551171363,1.020637926,9.025,5,-0.4,-1.7,-21.9,-17.2,-1.2,1.5,23.3,0,0,0,0,5,0,0,5,Somewhat important,Not Very Worried,Only a Little,Only a Little,39,White,Woman,High school diploma or GED,"$100,000-$149,999",Wisconsin,53027,Conservative,Weakly,Republican,Cautious,-5,0,-1,-4,0,-5,-2,-50
About the Same,1,1,1,19,10,5,61,2,-0.563261795,-0.58485831,-1.104143538,-0.150987049,-0.153443962,-0.515220301,2.284035465,-1.312354651,0.833538134,14.225,1,0.6,-1.7,-6.9,-12.2,-1.2,60.5,-29.7,0,0,100,0,0,0,0,0,Extremely Important,Very Worried,A Great Deal,A Great Deal,38,"Hispanic, Latino, or Spanish origin",Man,Bachelor degree,Prefer not to say,Florida,33545,Conservative,Strongly,Republican,Alarmed,-1,-1,99,-19,-10,-5,-61,-2
About the Same,10,5,5,20,5,5,30,20,0.947647198,0.140512636,-0.563210768,-0.086629471,-0.645801911,-0.515220301,0.370443989,-0.00021374,0.408710002,10.3,10,4.6,2.3,-5.9,-17.2,-1.2,29.5,-11.7,20,10,20,5,10,15,10,10,Very Important,Very Worried,A Moderate Amount,A Great Deal,35,White,Man,Bachelor degree,"$75,000-$99,999",Arkansas,72034,Liberal,Moderately,Democrat,Alarmed,10,5,15,-15,5,10,-20,-10
More Than,0,0,5,15,5,0,30,45,-0.731140572,-0.766201047,-0.563210768,-0.408417361,-0.645801911,-1.077979892,0.370443989,1.822204191,0.798174966,9.975,0,-0.4,2.3,-10.9,-17.2,-6.2,29.5,13.3,0,0,15,0,25,0,0,60,Extremely Important,Very Worried,A Moderate Amount,A Great Deal,59,White,Man,Bachelor degree,"$75,000-$99,999",Florida,32653,Liberal,Strongly,Democrat,Alarmed,0,0,10,-15,20,0,-30,15
About the Same,0,0,0,10,5,0,10,75,-0.731140572,-0.766201047,-1.23937673,-0.730205251,-0.645801911,-1.077979892,-0.864131157,4.009105708,1.257992783,11.9,0,-0.4,-2.7,-15.9,-17.2,-6.2,9.5,43.3,10,5,10,0,0,10,10,55,Not too important,Not Very Worried,Not at All,,49,White,Man,Bachelor degree,"$100,000-$149,999",Oklahoma,73099,Conservative,Moderately,Republican,,10,5,10,-10,-5,10,0,-20
About the Same,5,5,5,20,10,5,35,15,0.108253313,0.140512636,-0.563210768,-0.086629471,-0.153443962,-0.515220301,0.679087776,-0.364697327,0.326381944,10.3,5,4.6,2.3,-5.9,-12.2,-1.2,34.5,-16.7,0,0,75,0,0,25,0,0,Extremely Important,Very Worried,A Moderate Amount,A Great Deal,33,White,Man,Some high school or less,"Less than $25,000",Puerto Rico,0,Liberal,Strongly,Democrat,Alarmed,-5,-5,70,-20,-10,20,-35,-15
About the Same,2,10,2,20,20,15,20,11,-0.395383018,1.047226318,-0.968910345,-0.086629471,0.831271934,0.610298881,-0.246843584,-0.656284196,0.605355969,8.675,2,9.6,-0.7,-5.9,-2.2,8.8,19.5,-20.7,5,30,30,5,0,10,10,10,Extremely Important,Very Worried,A Moderate Amount,A Great Deal,37,Black or African American,Man,"Some college, but no degree","$100,000-$149,999",Ohio,43230,Moderate,Moderately,Democrat,Alarmed,3,20,28,-15,-20,-5,-10,-1
About the Same,,0,30,0,5,20,0,45,-0.731140572,-0.766201047,2.817619041,-1.373781031,-0.645801911,1.173058473,-1.48141873,1.822204191,1.351403124,12.3,0,-0.4,27.3,-25.9,-17.2,13.8,-0.5,13.3,0,0,70,0,0,30,0,0,Somewhat important,Somewhat Worried,,,27,White,Man,High school diploma or GED,"Less than $25,000",Oregon,97132,Liberal,Moderately,Democrat,,0,0,40,0,-5,10,0,-45
About the Same,5,5,5,25,5,5,30,20,0.108253313,0.140512636,-0.563210768,0.235158419,-0.645801911,-0.515220301,0.370443989,-0.00021374,0.322351885,9.05,5,4.6,2.3,-0.9,-17.2,-1.2,29.5,-11.7,20,20,30,10,10,10,10,20,Somewhat important,Somewhat Worried,Not at All,Only a Little,42,White,Woman,"Some college, but no degree","Less than $25,000",Delaware,19956,Liberal,Weakly,Democrat,Cautious,15,15,25,-15,5,5,-20,0
More Than,1,1,5,25,5,7,1,55,-0.563261795,-0.58485831,-0.563210768,0.235158419,-0.645801911,-0.290116465,-1.419689972,2.551171363,0.856658625,5.825,1,0.6,2.3,-0.9,-17.2,0.8,0.5,23.3,10,10,60,0,20,0,0,0,Very Important,Very Worried,A Moderate Amount,A Great Deal,52,White,Man,"Some college, but no degree","$50,000-$74,999",Michigan,48911,Liberal,Moderately,Democrat,Alarmed,9,9,55,-25,15,-7,-1,-55
About the Same,10,5,15,40,15,5,40,20,0.947647198,0.140512636,0.789121155,1.200522088,0.338913986,-0.515220301,0.987731562,-0.00021374,0.614985333,12.575,10,4.6,12.3,14.1,-7.2,-1.2,39.5,-11.7,20,20,20,5,15,10,5,5,Extremely Important,Very Worried,A Great Deal,A Great Deal,69,White,Woman,"Some college, but no degree","$25,000-$49,999",Florida,33068,Liberal,Strongly,Independent,Alarmed,10,15,5,-35,0,5,-35,-15
